2026-09-11 10:02:50,953 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b240>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:03:00,844 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2a250>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:03:00,985 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2a470>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:03:11,007 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab29f20>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:03:12,862 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab29ae0>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:03:22,051 | ERROR | Fallo de conexión con SQL Server: ('08001', '[08001] [Microsoft][ODBC Driver 18 for SQL Server]TCP Provider: Tiempo de espera de la operación de espera agotado.\r\n (258) (SQLDriverConnect); [08001] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0); [08001] [Microsoft][ODBC Driver 18 for SQL Server]A network-related or instance-specific error has occurred while establishing a connection to 192.168.50.19,1433. Server is not found or not accessible. Check if instance name is correct and if SQL Server is configured to allow remote connections. For more information see SQL Server Books Online. (258)')
2026-09-11 10:03:22,052 | WARNING | SQL Server no disponible. El marcaje de 1008 permanece seguro en el buffer del biométrico.
2026-09-11 10:03:22,057 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab299d0>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:03:24,888 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab296a0>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:03:32,078 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab28f30>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
